Comment,Designator,Footprint,LCSC Part #
,JP4,1X03,
,JP5,1X03,
,JP1,1X19,
,JP2,1X19,
,BRIDGE,RESC1005X40,
,X15,W237-103,
,X16,W237-103,
0,R0,RESC3216X70,
1M,R3,RESC3216X70,
100k,R5,RESC3216X70,
143k,R4,RESC3216X70,
330,R1,RESC3216X70,
392k,R2,RESC3216X70,
C-GRID-04-70553,X2 X6 X7 X8 X9 X10 X11 X12 X13 X14 X19 X20 X21 X22 X23 X24,70553-04,
C-GRID-05-70553,X4 X5,70553-05,
CF-LD-1DC4-AR2W,S2,CFLD1DC4AR2W,
ESP32-DEVKITC,U1,MODULE_ESP32-DEVKITC,
LED_BLUE,D1,LEDC3216X75N_FLAT-B,
MMSZ5235B,D2,SODFL3718X115,
PINHD-1X3,JP3,1X03,
Si2323 ,Q1,SOT23,
TPS259251DRCRDRC10_1P65X2P40_TEX,U2,DRC10_1P65X2P40_TEX,
