Designator,Mid X,Mid Y,Layer,Rotation
BRIDGE,32.50,70.10,Top,270.0
D1,71.43,136.91,Top,0.0
D2,69.88,121.23,Top,90.0
JP1,63.00,96.90,Top,90.0
JP2,27.00,96.90,Top,270.0
JP3,27.00,126.30,Top,270.0
JP4,55.00,65.00,Top,0.0
JP5,35.00,65.00,Top,180.0
Q1,73.33,118.54,Top,180.0
R0,70.81,131.35,Bottom,180.0
R1,71.30,134.17,Top,0.0
R2,60.45,129.79,Top,90.0
R3,60.45,124.71,Top,90.0
R4,70.36,127.51,Top,270.0
R5,73.71,122.73,Top,0.0
S2,83.82,132.72,Top,0.0
U1,45.00,97.00,Top,0.0
U2,65.53,127.76,Top,0.0
X2, 6.00,133.00,Top,90.0
X4,84.00,73.80,Top,270.0
X5,84.00,58.70,Top,270.0
X6, 6.00,120.40,Top,90.0
X7, 6.00,107.80,Top,90.0
X8, 6.00,95.20,Top,90.0
X9, 6.00,82.60,Top,90.0
X10, 6.00,70.00,Top,90.0
X11, 6.00,57.40,Top,90.0
X12, 6.00,44.80,Top,90.0
X13, 6.00,32.20,Top,90.0
X14, 6.00,19.60,Top,90.0
X15,86.20,117.70,Top,270.0
X16,86.20,102.70,Top,270.0
X19, 6.00, 7.00,Top,90.0
X20,84.00,87.70,Top,270.0
X21,84.00,44.80,Top,270.0
X22,84.00,32.20,Top,270.0
X23,84.00,19.60,Top,270.0
X24,84.00, 7.00,Top,270.0
